conversation_id_str;created_at;username;full_text;kota_kabupaten;retweet_count;favorite_count;labels
1,89691E+18;Tue Mar 04 23:49:32 +0000 2025;sousyoi;@Ayliinunm_ gue nyari info ciledug ciledug udh reda blm tapi ga paham lagi may yg biasa gue lewatin itu ciledug indah atau ciledug raya soalnya satunya kering satunya masih banjir tp kayaknya klo mau aman lewat alsut aja lewat tangerang kota tp lebih jauh 10km;Tangerang;0;0;0
1,89707E+18;Tue Mar 04 23:49:08 +0000 2025;RadioElshinta;Jalan Haji Sarimun Jakarta Barat masih terendam banjir dengan ketinggian air mencapai 1 meter Rabu (5/3) Pagi. Ale #InfoBanjirElshinta https://t.co/UAK0AHILfd;Jakarta Barat;2;6;1
1,89693E+18;Tue Mar 04 23:48:56 +0000 2025;sepnote;@marimassoklat semoga banjir dii bekasi cepett surut yaa!semangat teruss?;Bekasi;0;0;1
1,89675E+18;Tue Mar 04 23:48:03 +0000 2025;budiMT;@txtdrbekasi Jangan beli rokok lagi bang rokok dapat menyebabkan banjir;Bekasi;0;0;1
1,89705E+18;Tue Mar 04 23:47:18 +0000 2025;todo_cihuy;@LeleSop @txtdrbekasi Infonya subuh tadi belum dan depan toko yoehan masih banjir bang;Bekasi;0;0;1
1,89682E+18;Tue Mar 04 23:46:54 +0000 2025;sousyoi;@awsarsaparila kemarin gue ga bisa lewat di ciledug banjir trs macet parah gue diajak kakak kakak gitu lewat gang buat balik ke arah rumah jadinya gaboleh juga sama ibu gue buat lanjut taunya di cikarang jg banjir. temen gue yg tinggal di daerah jakbar aja gabisa balik kemarin dr kantor;Jakarta Barat;0;0;0
1,89707E+18;Tue Mar 04 23:45:53 +0000 2025;wotasepur;PT KAI Daerah Operasi (Daop) 2 Bandung mengungkapkan bahwa banjir di Kabupaten dan Kota Bekasi yang terjadi sejak Selasa pagi sempat menyebabkan dua KA Parahyangan relasi Stasiun Gambir-Bandung mengalami keterlambatan. https://t.co/bp0PnbEPJr;Bekasi;0;0;1
1,89693E+18;Tue Mar 04 23:45:43 +0000 2025;MariaFrans7481;@marimassoklat semoga banjir Bekasi segera surut;Bekasi;0;0;1
1,89707E+18;Tue Mar 04 23:45:41 +0000 2025;soetanahasby;Banjir di Kota Jakarta Kabupaten Bogor Kabupaten Bekasi dan Kota Bekasi serta Kabupaten Tangerang.;DKI Jakarta;0;0;1
1,89707E+18;Tue Mar 04 23:45:39 +0000 2025;uputreey;Bekasi b nya banjir lah bangkek;Bekasi;0;0;1
1,89707E+18;Tue Mar 04 23:45:31 +0000 2025;piiiiyyaaaaa;eum bekasi banjir ya? semoga rumahnya kena sih klo bisa dianya kena arus sekalian;Bekasi;0;0;1
1,89707E+18;Tue Mar 04 23:40:38 +0000 2025;mamanggos_;ya allah stay safe warga bekasiii... jujur tadi kali di deket rumah pun udah tinggi takut bgttt SETAKUT ITU SAMA BANJIR;Bekasi;0;0;1
1,89704E+18;Tue Mar 04 23:40:33 +0000 2025;irmanoy;@tokkienim @txtdrbekasi Parkiran motor dalem st bekasi masih banjir gak ka?;Bekasi;0;0;1
1,89687E+18;Tue Mar 04 23:40:19 +0000 2025;eskopipanass;@txtdrbekasi mohon infonya dong kalo dari pancoran ke arah cibitung gw kan biasa lewat kalimalang tuh. Aman ngga ya jalurnya? ada yang kedampak banjir ato macet ngga ya?;Bekasi;0;0;1
1,89707E+18;Tue Mar 04 23:40:11 +0000 2025;bukandeng;@PRFMnews kalo banjir bekasi solusinya gmn pak?;Bekasi;0;1;0
1,89707E+18;Tue Mar 04 23:40:00 +0000 2025;irmanoy;@riosakapambudi @txtdrbekasi Parkiran motor tadi pagi masih banjir ka?;Bekasi;0;0;1
1,89707E+18;Tue Mar 04 23:39:36 +0000 2025;nemop;@selenophiln iyaa banjir di bekasi apaya;Bekasi;0;0;1
1,89707E+18;Tue Mar 04 23:39:28 +0000 2025;hope_emak;Kejaksaan harusnya berbenah diri dulu bersih2 dari yg kotor2. Masih tembang pilih kasus jgn teriak minta imun tambahan!! . . Ujian Luhut Pak Tom Baim Bekasi Banjir Pagiii https://t.co/p4iPCLYMEP https://t.co/RiiRntZu6S;Bekasi;5;8;0
1,89707E+18;Tue Mar 04 23:38:47 +0000 2025;Urpin168;Evakuasi Korban Banjir Prajurit Baret Ungu Turun Gunung di Jakarta Dan Bekasi https://t.co/jMtfKhx7pv Rabu Pagii Leg 2;DKI Jakarta;0;0;2
1,89707E+18;Tue Mar 04 23:38:05 +0000 2025;Raysmom884543;Alhamdulillah pagi ini pintu air katulampa-depok-manggarai sudah kembali normal. Dan walaupun kemarin manggarai sampai 898 ? Bidara Cina RW 02 tetap aman. Ga terbayang disini bisa bebas banjir pdhl dulu selalu jadi langganan banjir kiriman. Banjir masuk rumah terakhir 2020;Depok;0;0;0
1,89707E+18;Tue Mar 04 23:38:00 +0000 2025;KENMAISMYBOY;stay safe yg terkena dampak banjir terutama di bekasi dan bogor. semoga selalu dilindungi oleh Yang Maha Kuasa;Bogor;0;1;1
1,89707E+18;Tue Mar 04 23:37:37 +0000 2025;txtdrbekasi;??LIVE UPDATE BANJIR?? Parkiran Mall Mega Bekasi;Bekasi;75;376;1
1,89646E+18;Tue Mar 04 23:35:36 +0000 2025;victory_ori;@DediMulyadi71 @susipudjiastuti 1. Pak Gub dah ngapain aja di banjir Bekasi pak ?? 2. Puny program untuk bikin waduk yg nampung air limpahan dari Bogor spy ga langsung ke Bekasi ga ? Kalo belom tolong direncanakan dan langsung eksekusi 2026... @txtdrbekasi @mas_triadhianto;Bogor;0;1;1
