full_text;labels
pemerintah pusat ambil alih penanganan banjir jakarta emang sudah lahambil alih jabatan gubernurnya aniesgabisakerja banjirjakarta gantigubernurjkt jkt aniesbaswedan nieshancurkanjakarta;0
banjir menyebabkan kemacetan parah jakarta sobatpresisiid sobathikmahpresisi;1
personel gabungan tnipolri mengevakuasi warga terdampak banjir perumahan asri sawangan depok jawa barat selasa pria membutuhkan cuci darah rsud sawangan kepungan banjir meter evakuasi;2
bogor banjir ko;1
sampe whatsapp orangorang magang share hotline banjir jakarta;1
ya allah tolong gimana bantuan tim sar banjir rumah nenek bisa tiduran kasur udah evakuasi lt rumah tapi takut air tolong bantuannya bekasi banjir;0
salut polri cepat tanggap salurin bantuan korban banjir bekasi depok semoga warga cepat pulih;2
kasian anies jakarta banjir disalahin yg nyalahin pemerintah sehari buang sampah sembarangan indonesiaku hebat;0
warga bojong kulur gunung putri kabupaten bogor ziva membagikan momen rumahnya kebanjiran instagram pribadinya energijuang zivamagnolya semuaorang banjir banjirbekasi;1
tidak sampah yg blg salah pemerintah bkn sampah tapi pinggir jalan banjir banjir jakartabanjir jakartadikepungbanjir banjirjakarta;0
tapi jujur sedih banget dr kemarin liat story temen warga bekasi separah yg serem banjir kiriman kyk tidak tau dateng;1
tidak marah orang yg ngasih banjir bekasi beneran banjir kek hah deket sudah w empos;0
banjir ketinggian air meter telah berdampak ribu jiwa ribu terpaksa mengungsi aman pemkab bekasi berupaya mempercepat distribusi bantuan kebutuhan warga terpenuhi;2
ngeliat banjir bekasi dkk ngeri banget banget ya terdampak semoga terdampak dimudahkan jalannya beres rumahnya cepet aamiin semoga temen ak disana safe;1
keren banget polri sigap bantu korban banjir bekasi depok salut dedikasi semoga bantuan bisa ringankan beban warga cek videonya link;2
lihat hasilnya indikatornya bukan jakarta banjir tidak tapi yg bisa bikin banjir jakarta cepat surut;0
anies banjir jakarta tergantung upaya pemerintah pusat;0
apresiasi polri yg sigap evakuasi amp salurkan bantuan banjir bekasi salut banget dedikasinya aksi keren bisa;2
rabu maret banser tanggap bencana siaga dilokasi bencana membagikan takjil nasi buka puasa pengungsi korban banjir pasar cikarang bekasi bansertanggapbencana;2
masyaallah malem bener nangis terharu jajaran petugas pemerintah provinsi dki jakarta sudah terjun langsung berjuang membantu evakuasi korban banjir jakarta hebat banjirjakarta;2
ribu jiwa terdampak banjir pemkot bekasi siapkan posko pengungsian dapur;2
daerah jg banjir kalii napa jakarta doang yg treaakk yg daerah jg banjir tidak nyalahin pemerintah sebegitunya kali;0
upaya telah pemerintah provinsi dki jakarta zaman zaman menanggulangi banjir;2
bisa parah ya banjir kiriman jakarta tidak separah curiga sabotase pusat pintu air perhatian pertamina danantara ruu tni teralihkan banjir;0
sobatjaktim prioritaskan penanganan genangan banjir maksimal sumber dkijakarta pengendalianbanjir;1
sungai dikelola pemerintah pusat dki jakarta banjir aliran dr ya sungai;0
banjir jakarta tpi masyarakat belum kena sentuhan bantuan apapun pemerintah sekedar air putih minum;0
semalem abis ngelonin anak tidur beberes takut banjir masuk rumah alhamdulillah teras doang banjirnya bekasi keos bener sudah diterjang hujan;0
bmkg banjir merendam kawasan jadetabek kiriman bogor;1
jakarta batalion b pelopor satuan brimob polda metro jaya terjun membantu masyarakat korban banjir kebon pala jakarta timur personel brimob mendirikan dapur lapangan menyingkirkan lumpur sisa banjir selengkapnya;2
jakarta dikepung banjir rt terendam;1
wts wtb info jual beli aplikasi premium murah netflix disney hotstar viu wetv hbo max iqiyi loklok prime video vidio bstation appmus canva vision hujan banjir bekasi wa testi zonauang;1
ni dl ngebacot jakarta banjir;1
kenyataannya lahan bidara cina belum dibebaskan penataan sungai upaya pengendalian banjir kerja pemerintah pusat kementerian pupr pemerintah propinsi dki jakarta pemerintah propinsi jabar;0
normalisasi kali ciliwung jakarta outer ring road jorr manggarai komitmen pemerintah pusat mengendalikan banjir jakarta hulu hilir pemerintah mengadakan pembangunan bendungan kering ciawi sukamahi;0
banjir melanda jakarta bogor bekasi tidak bikin warga kebanjiran tapi hewanhewan peliharaan korban anjing burung kambing sapi terdampak jakarta selatan petugas damkar evakuasi ekor kambing pakai;1
gubernur jawa barat dedi mulyadi menyoroti alih fungsi lahan kawasan puncak bogor salah faktor utama penyebab banjir longsor kerap melanda wilayah;1
link jakarta satuan brimob polda metro jaya mengevakuasi warga terdampak banjir jalan raya kalibata cawang jakarta timur ketinggian air mencapai meter;2
humas polsek johar polres metro jakarta pusat aksi peduli polwan polres jakbar salurkan bantuan pemeriksaan kesehatan trauma healing korban banjir jakarta barat aksi sosial jajaran polres metro jakarta barat kali;2
banjir jakarta telah kronis menghantui kota indonesia;1
presiden prabowo lokasi banjir terparah bekasi ditangani via;1
babak belur diserang netizen gegara jakarta raya banjir komen kentut falesbeda kondisi yg gub anies biar pny pride diseranglah anies yg bukan lgeh koq tidak nyerang yg bkn lg;0
sabar ya jokowi dijelasin bolak blkngkiri kananatas pendukung sampeyan emang oon tidak ngerti jokowi sudah bolak banjir jakarta kewenangan pemerintah pusat;0
wakil gubernur jakarta rano karno meninjau lokasi banjir pengungsian warga kebon pala kampung melayu jakarta timur senin maret warga terdampak banjir luapan kali ciliwung mengungsi sdn kampung melayu asep bidin rosidinprmn;2
masyarakat mencegah banjir jgn menyalahkan pemerintah tapi masyarakat buang sampah sembarangan heran;0
kepala bmkg dwikorita karnawati cuaca ekstrem wilayah jakarta bogor depok tangerang bekasi jabodetabek mengakibatkan hujan badai banjir akan berkangsung sepekan dwikorita menyebut puncak cuaca ekstrem akan;1
video mobil terendam banjir pemilik mal mega bekasi tanggung;1
kapal akan tenggelam tikus geladaklah yg cepat meninggalkan kapal kapten sejati akan mendahulukan penumpang tenggelam kapalnya menyapa kawan dunia maya kecuali walikota bekasi yg ngungsi hotel banjir;0
menteri programnya program menteri anies rapat presiden joko widodo istana merdeka jakarta rabu petang anies pemerintah provinsi dki jakarta fokus penanganan korban banjir;0
warga terdampak banjir jalan kebon pala ii kampung melayu jatinegara jakarta timur membersihkan lumpur sampah sisa banjir minggu malam;1
presiden akan mudah mengatasi banjir jokowi yg bilang mengatasi banjir tugas pemerintah pusat dg pemda dki bogor buktinya;0
banjir meluas bikin kota bekasi lumpuh total;1
